label,device_type,n_levels,energy_per_pulse_pJ,v_program_V,pulse_width_ns,memory_window_V,year,venue,doi_or_url,source_quote,confidence
Gao2024_NanoLett,"La0.1Bi0.9FeO3 (LBFO) FTJ",,0.0008,1,100,,2024,Nano Lett.,https://doi.org/10.1021/acs.nanolett.4c01924,"The device achieves an ultralow energy consumption of 0.8 fJ per spike under a pulse voltage of 1 V and a duration of 100 ns. (Converted: 0.8 fJ = 0.0008 pJ.)",medium
Wang2024_AdvMater,SiO2/HZO FTJ,128,,1.2,10,,2024,Adv. Mater.,https://doi.org/10.1002/adma.202211305,"In synaptic simulations, it exhibits 128 gradually tunable conductance states with high linearity, achieved using 10 ns pulses of <1.2 V.",high
Park2026_AMI,ITO/HZO/WOx FTJ,64,,,,,2026,ACS Appl. Mater. Interfaces,https://doi.org/10.1021/acsami.6c00989,"The optimized device demonstrates a resistance ratio of ~100, switching endurance exceeding 10^8 cycles, and 64 well-resolved conductance states.",high
BegonLours2024_AELM,HfO2/ZrO2 nanolaminate FTJ,,,,20,,2024,Adv. Electron. Mater.,https://doi.org/10.1002/aelm.202300649,"The synaptic plasticity of these devices was characterized using electrical pulses at both ultra-fast (20 ns) and biological (500 us) timescales.",high
Ma2020_NatComm,Ag/BaTiO3/Nb:SrTiO3 FTJ,32,,,0.6,,2020,Nature Communications,https://doi.org/10.1038/s41467-020-15249-1,"Here, we report a high performance memristor based on a Ag/BaTiO3/Nb:SrTiO3 ferroelectric tunnel junction (FTJ) with the fastest operation speed (600 ps) and the highest number of states (32 states or 5 bits) per cell among the reported FTJs. (Converted: 600 ps = 0.6 ns pulse width.)",high
Lu2025_ACSAMI,Pt/HZO/TiO2/TiN FTJ,128,,,50,,2025,ACS Appl. Mater. Interfaces,https://doi.org/10.1021/acsami.5c01547,"As an artificial synapse, the FTJ attains highly symmetric 128-state conductance manipulation with a low cycle-to-cycle variation of 2.75%, with stable resistive switching at an operational speed of 50 ns.",high
Kim2023_APLMater,HfAlOx (HAO) FTJ,16,,,,,2023,APL Materials,https://doi.org/10.1063/5.0170699,"The construction of 16 states comprising four bits was achieved by employing reservoir computing with the FTJ device functioning as a physical reservoir.",high
Jerry2017_IEDM,HZO FeFET,32,,,75,,2017,IEDM,https://doi.org/10.1109/IEDM.2017.8268338,"We experimentally demonstrate a 5-bit FeFET synapse with symmetric potentiation and depression characteristics, and a 45x tunable range in conductance with 75ns update pulse.",high
Oh2017_EDL,HZO FeFET,32,,,,,2017,IEEE EDL,https://doi.org/10.1109/LED.2017.2698083,"By optimizing the pulse condition, we obtained 32 levels of remnant polarization states for both potentiation and depression.",high
Song2024_AdvSci,2D (SnS2) FeFET,140,0.000048,,1000,,2024,Adv. Sci.,https://doi.org/10.1002/advs.202308588,"The FeFET we fabricated allowed us to confirm 140 levels of multiple features, and excellent linear characteristics (Ap = -0.7239, Ad = -0.6026) were observed.",high
Kim2026_ACSNano,W-gated HZO MFMIS FeFET,22,,,,11,2026,ACS Nano,https://doi.org/10.1021/acsnano.5c14095,"...with consistency across 350 tested devices and 22 programmable conductance states.",high
Li2024_NatComms,ITO-channel HZO FeFET,,,,,2.78,2024,Nat. Commun.,https://doi.org/10.1038/s41467-024-46878-5,"The proposed FeFET has a large memory window (MW) of 2.78 V, a high current on/off ratio (ION/IOFF) of over 10^8, and high endurance up to 2x10^7 cycles.",high
Wang2025_AdvElecMater,ITO-channel HZO FeFET,,,,,1.73,2025,Adv. Electron. Mater.,https://doi.org/10.1002/aelm.202500078,"The device has a great on/off ratio ~10^8 with a memory window of 1.73 V.",high
Kong2023_TED,ZnO fin-gate FeFET,,,,,1.5,2023,IEEE TED,https://doi.org/10.1109/TED.2023.3242852,"our ZnO Fe-FETs show excellent electrical characteristics, including memory windows (MWs) of 1.9 and 1.5 V with the channel length (Lch) of 1 um and 50 nm, respectively.",high
Bohuslavskyi2024_AdvElecMater,Planar HZO FeFET,20,,,,,2024,Adv. Electron. Mater.,https://doi.org/10.1002/aelm.202300879,"At least 20 reproducible analog states for temperatures below 100 K with almost ideal linearity of intermediate polarization states in both pulse directions is observed.",high
